course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
8140,Oneka Ridge Golf Course,White Bear Lake,Minnesota,5610 120th St No,55110,-92.98671499999999,45.127362,18,Public,Open: 4/01 Closed: 11/30,4,11,72,6351,119,70.80,72,6061,116,69.50,72,5166,114,69.70
8142,Manitou Ridge Golf Club,White Bear Lake,Minnesota,3200 N McKnight Rd,55110,-92.99991,45.039723,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6415,116,70.40,71,6051,113,68.70,71,5513,120,71.50
8144,Eagle Creek Golf Club,Willmar,Minnesota,1000 26th Ave NE,56201,-95.03336759999999,45.1517588,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6342,129,70.80,72,6085,127,69.70,73,5271,127,70.90
8145,Windom Country Club,Windom,Minnesota,County Rd 13,56101,-95.1379705,43.8779693,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3057,119,34.10,36,2878,116,33.40,36,2572,116,34.30
8146,Riverside Town & Country Club,Winnebago,Minnesota,36259 150th St,56098,-94.1432955,43.7085915,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3154,124,35.00,36,3013,122,34.90,36,2623,125,36.70
8148,Westfield Golf Club,Winona,Minnesota,1460 W 5th St,55987,-91.6762969,44.0545769,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3331,136,35.70,36,3111,132,34.70,36,2833,127,36.10
8149,Winona Country Club,Winona,Minnesota,Pleasant Valley Rd,55987,-91.6027276,43.9996513,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6758,136,73.20,71,6487,134,71.90,74,6098,137,75.80
8150,Regulation Eighteen at Cedar Valley Golf Course,Winona,Minnesota,County Rd 9,55987,-91.5492124,43.9675428,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6325,119,69.50,72,6000,116,68.00,72,5600,122,71.70
8152,Eagle Valley Golf Course,Woodbury,Minnesota,2600 Double Eagle Ln,55129,-92.89864020000002,44.9113441,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6892,127,73.00,72,6554,124,71.40,72,5207,116,69.50
8153,Prestwick Golf Club at Wedgewood,Woodbury,Minnesota,9555 Wedgewood Dr,55125,-92.9125242,44.8975732,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6723,127,72.50,72,6334,123,70.70,72,5267,121,71.00
8155,Prairie View Golf Links,Worthington,Minnesota,Hwy 266 No,56187,-95.7136513,43.7011592,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6368,114,70.10,71,5989,111,68.30,71,5105,111,69.00
8156,Worthington Country Club,Worthington,Minnesota,1414 Liberty Dr,56187,-95.6228003,43.6255466,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6276,125,70.00,71,5982,123,68.60,71,5243,122,70.80
8157,"Greenwood Golf Links, Inc.",Wyoming,Minnesota,4520 E Viking Blvd,55092,-93.0146932,45.3405918,18,Public,Open: 4/15 Closed: 11/01,4,10,72,5518,105,67.20,72,5438,103,66.50,72,4791,112,67.30
8159,Zumbrota Golf Club,Zumbrota,Minnesota,Sugarloaf Pkwy,55992,-92.6779112,44.3079665,9,Public,Open: 4/01 Closed: 11/01,4,10,34,2806,121,33.60,34,2648,118,32.90,34,2455,116,34.40
